Data;Direttrice;Partenza;Arrivo;NumeroTreniProgrammati;NumeroTreniCircolanti;NumeroTreniAnnullati;NumeroTreniInritardo;PercentualeTreniCircolanti;PercentualeTreniAnnullati;PercentualeTreniInritardo ;IndiceRegolarita;RisarcUtenti;note
2012-12;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;220;220;0;29;1;0;0,131818182;0,868181818;0;
2012-12;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;514;513;1;43;0,998054475;0,001945525;0,083657588;0,916342412;0;
2012-12;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;485;485;0;33;1;0;0,068041237;0,931958763;0;
2012-12;Atlantique;PARIS MONTPARNASSE;LE MANS;449;449;0;41;1;0;0,091314031;0,908685969;0;
2012-12;Atlantique;LAVAL;PARIS MONTPARNASSE;243;243;0;21;1;0;0,086419753;0,913580247;0;
2012-12;Sud-Est;MONTPELLIER;LYON PART DIEU;356;356;0;68;1;0;0,191011236;0,808988764;1;
2012-12;Sud-Est;PARIS LYON;LYON PART DIEU;618;618;0;34;1;0;0,055016181;0,944983819;0;
2012-12;Atlantique;RENNES;LYON PART DIEU;71;71;0;7;1;0;0,098591549;0,901408451;0;
2012-12;Nord;MARSEILLE ST CHARLES;LILLE;129;129;0;31;1;0;0,240310078;0,759689922;1;
2012-07;Sud-Est;LYON PART DIEU;MONTPELLIER;377;377;0;76;1;0;0,201591512;0,798408488;1;D'importantes phases de travaux d'amͩlioration de l'infrastructure sur le tron�_on Nice Marseille nͩcessitent la mise en place de limitations de vitesse qui rͩduisent la fluiditͩ des circulations.
2012-07;Atlantique;ANGOULEME;PARIS MONTPARNASSE;343;343;0;40;1;0;0,116618076;0,883381924;0;Le 8 juillet, afin d'assurer la correspondance avec le TER 864527, le TGV 8448 est retenu en gare d'Angoul�_me environ 15 minutes.
2012-07;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;523;522;1;46;0,998087954;0,001912046;0,087954111;0,912045889;0;
2012-07;Atlantique;POITIERS;PARIS MONTPARNASSE;487;487;0;48;1;0;0,098562628;0,901437372;0;
2012-07;Atlantique;PARIS MONTPARNASSE;NANTES;515;515;0;21;1;0;0,040776699;0,959223301;0;
2012-07;Sud-Est;PARIS LYON;MACON LOCHE;183;183;0;15;1;0;0,081967213;0,918032787;0;
2012-07;Sud-Est;PARIS LYON;TOULON;266;266;0;33;1;0;0,12406015;0,87593985;0;
2012-07;Sud-Est;ANNECY;PARIS LYON;204;204;0;8;1;0;0,039215686;0,960784314;0;
2012-07;Sud-Est;PARIS LYON;NIMES;397;397;0;65;1;0;0,16372796;0,83627204;1;
2012-07;Est;METZ;PARIS EST;302;302;0;26;1;0;0,086092715;0,913907285;0;
2012-08;Est;PARIS EST;NANCY;298;298;0;13;1;0;0,043624161;0,956375839;0;La quasi totalitͩ des retards du mois d'ao�_t se sont produit le 16 ao�_t �_ cause d'un accident de personne �_ Vaires.
2012-08;Atlantique;PARIS MONTPARNASSE;POITIERS;452;452;0;12;1;0;0,026548673;0,973451327;0;
2012-08;Atlantique;NANTES;PARIS MONTPARNASSE;559;558;1;36;0,998211091;0,001788909;0,064400716;0,935599284;0;
2012-08;Atlantique;PARIS MONTPARNASSE;NANTES;528;528;0;29;1;0;0,054924242;0,945075758;0;
2012-08;Sud-Est;LYON PART DIEU;MONTPELLIER;376;376;0;66;1;0;0,175531915;0,824468085;1;
2012-08;Sud-Est;LYON PART DIEU;PARIS LYON;539;539;0;11;1;0;0,020408163;0,979591837;0;
2012-08;Sud-Est;PARIS LYON;LYON PART DIEU;531;531;0;26;1;0;0,048964218;0,951035782;0;
2012-08;Sud-Est;MACON LOCHE;PARIS LYON;178;178;0;9;1;0;0,050561798;0,949438202;0;
2012-08;Sud-Est;PERPIGNAN;PARIS LYON;166;166;0;21;1;0;0,126506024;0,873493976;0;
2012-08;Sud-Est;PARIS LYON;PERPIGNAN;163;163;0;16;1;0;0,098159509;0,901840491;0;
2012-11;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;132;132;0;12;1;0;0,090909091;0,909090909;0;
2012-11;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;230;230;0;22;1;0;0,095652174;0,904347826;0;
2012-11;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;232;232;0;35;1;0;0,150862069;0,849137931;1;
2012-11;Atlantique;PARIS MONTPARNASSE;VANNES;180;180;0;13;1;0;0,072222222;0,927777778;0;
2012-11;Sud-Est;AVIGNON TGV;PARIS LYON;363;363;0;59;1;0;0,162534435;0,837465565;1;
2012-11;Sud-Est;PARIS LYON;AVIGNON TGV;382;382;0;33;1;0;0,086387435;0,913612565;0;
2012-11;Est;STRASBOURG;PARIS EST;448;447;1;38;0,997767857;0,002232143;0,084821429;0,915178571;0;
2012-11;Nord;ARRAS;PARIS NORD;332;332;0;22;1;0;0,06626506;0,93373494;0;
2012-09;Nord;DUNKERQUE;PARIS NORD;95;95;0;4;1;0;0,042105263;0,957894737;0;Circulation fortement dͩgradͩe le 3 septembre par un incident important qui s'est produit sur la ligne �_ grande vitesse au niveau de la gare d'Arras (incident touchant les installations catͩnaires avec de lourdes consͩquences en termes de retard sur les trains).
2012-08;Est;PARIS EST;REIMS;224;224;0;17;1;0;0,075892857;0,924107143;0;La quasi totalitͩ des retards du mois d'ao�_t se sont produit le 16 ao�_t �_ cause d'un accident de personne �_ Vaires.
2012-08;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;150;150;0;9;1;0;0,06;0,94;0;
2012-08;Atlantique;TOULOUSE MATABIAU;PARIS MONTPARNASSE;89;89;0;8;1;0;0,08988764;0,91011236;0;
2012-08;Atlantique;PARIS MONTPARNASSE;QUIMPER;190;190;0;12;1;0;0,063157895;0,936842105;0;
2012-08;Atlantique;PARIS MONTPARNASSE;ST MALO;63;63;0;0;1;0;0;1;0;
2012-08;Sud-Est;PARIS LYON;BELLEGARDE (AIN);262;262;0;22;1;0;0,083969466;0,916030534;0;
2012-09;Atlantique;PARIS MONTPARNASSE;BREST;183;183;0;6;1;0;0,032786885;0,967213115;0;
2012-08;Atlantique;TOURS;PARIS MONTPARNASSE;185;185;0;13;1;0;0,07027027;0,92972973;0;
2012-08;Sud-Est;PARIS LYON;TOULON;254;254;0;29;1;0;0,114173228;0,885826772;0;
2012-09;Nord;PARIS NORD;ARRAS;358;358;0;40;1;0;0,111731844;0,888268156;0;Circulation fortement dͩgradͩe le 3 septembre par un incident important qui s'est produit sur la ligne �_ grande vitesse au niveau de la gare d'Arras. Il s'agissait d'un incident touchant les installations catͩnaires avec de lourdes consͩquences en termes de retard sur les trains.
2012-09;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;636;635;1;58;0,998427673;0,001572327;0,091194969;0,908805031;0;
2012-10;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;208;208;0;39;1;0;0,1875;0,8125;1;
2012-09;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;115;115;0;9;1;0;0,07826087;0,92173913;0;
2012-09;Atlantique;ST MALO;PARIS MONTPARNASSE;99;99;0;0;1;0;0;1;0;
2012-09;Atlantique;PARIS MONTPARNASSE;VANNES;180;180;0;8;1;0;0,044444444;0,955555556;0;
2012-09;Sud-Est;PARIS LYON;AVIGNON TGV;364;364;0;25;1;0;0,068681319;0,931318681;0;
2012-09;Sud-Est;PERPIGNAN;PARIS LYON;151;151;0;16;1;0;0,105960265;0,894039735;0;
2012-09;Sud-Est;PARIS LYON;PERPIGNAN;153;153;0;12;1;0;0,078431373;0,921568627;0;
2012-09;Est;REIMS;PARIS EST;227;227;0;15;1;0;0,066079295;0,933920705;0;
