Anno,Vincitore,Punteggio
1968,Bob Goalby,277
1969,George Archer,281
1970,Billy Casper,279
1971,Charles Coody,279
1972,Jack Nicklaus,286
1973,Tommy Aaron,283
1974,Gary Player,278
1975,Jack Nicklaus,276
1976,Ray Floyd,271
1977,Tom Watson,276
1978,Gary Player,277
1979,Fuzzy Zoeller,280
1980,Severiano Ballesteros,275
1981,Tom Watson,280
1982,Craig Stadler,284
1983,Severiano Ballesteros,280
1984,Ben Crenshaw,277
1985,Bernhard Langer,282
1986,Jack Nicklaus,279
1987,Larry Mize,285
1988,Sandy Lyle,281
1989,Nick Faldo,283
1990,Nick Faldo,278
1991,Ian Woosnam,277
1992,Fred Couples,275
1993,Bernhard Langer,277
1994,J.M. Olazabal,279
1995,Ben Crenshaw,274
1996,Nick Faldo,276
1997,Tiger Woods,270
1998,Mark O’Meara,279
1999,J.M. Olazabal,280
2000,Vijay Singh,278
2001,Tiger Woods,272
2002,Tiger Woods,276
2003,Mike Weir,281
2004,Phil Nickelson,279
