Stato,Città,Durata misurazioni(anni),Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic,Annuale
AL,Mobile,46,11,10,11,7,8,11,16,14,10,6,8,10,123
AK,Juneau,43,18,17,18,17,17,16,17,18,20,24,19,21,220
AZ,Phoenix,48,4,4,4,2,1,1,4,5,3,3,3,4,36
AR,Little Rock,45,9,9,10,10,10,8,8,7,7,7,8,9,103
CA,Los Angeles,52,6,6,6,3,1,1,1,0,1,2,4,5,36
,Sacramento,48,10,9,9,5,3,1,0,0,1,3,7,9,58
,San Diego,47,7,6,7,5,2,1,0,1,1,3,5,6,43
,San Francisco,60,11,10,10,6,3,1,0,0,1,4,7,10,62
CO,Denver,53,6,6,9,9,11,9,9,9,6,5,5,5,89
CT,Hartford,33,11,10,11,11,12,11,10,10,9,8,11,12,127
DE,Wilmington,40,11,10,11,11,11,10,9,9,8,8,10,10,117
DC,Washington,46,10,9,11,10,11,10,10,9,8,7,8,9,111
FL,Jacksonville,46,8,8,8,6,8,12,15,14,13,9,6,8,116
,Miami,45,6,6,6,6,10,15,16,17,17,14,9,7,129
GA,Atlanta,53,11,10,11,9,9,10,12,9,8,6,8,10,115
HI,Honolulu,38,10,9,9,9,7,6,8,6,7,9,9,10,100
ID,Boise,48,12,10,10,8,8,6,2,3,4,6,10,11,91
IL,Chicago,29,11,10,12,12,11,10,10,9,10,9,10,12,127
,Peoria,48,9,8,11,12,11,10,9,8,9,8,9,10,114
IN,Indianapolis,48,12,10,13,12,12,10,9,9,8,8,10,12,125
IA,Des Moines,48,7,7,10,11,11,11,9,9,9,8,7,8,107
KS,Wichita,34,6,5,8,8,11,9,7,8,8,6,5,6,86
KY,Louisville,40,11,11,13,12,12,10,11,8,8,8,10,11,125
LA,New Orleans,39,10,9,9,7,8,11,15,13,10,6,7,10,114
ME,Portland,47,11,10,11,12,13,11,10,9,8,9,12,12,128
MD,Baltimore,37,10,9,11,11,11,9,9,10,7,7,9,9,113
MA,Boston,36,12,10,12,11,12,11,9,10,9,9,11,12,126
MI,Detroit,29,13,11,13,12,11,11,9,9,10,9,12,14,135
,Sault Ste. Marie,46,19,15,13,11,11,12,10,11,13,13,17,20,165
MN,Duluth,46,12,10,11,10,12,13,11,11,12,10,11,12,134
,St. Paul,49,9,7,10,10,11,12,10,10,10,8,8,9,115
MS,Jackson,24,11,9,10,8,10,8,10,10,8,6,8,10,109
MO,Kansas City,15,7,7,11,11,11,11,7,9,8,8,8,8,107
,St. Louis,30,8,8,11,11,11,10,8,8,8,8,10,9,111
MT,Great Falls,50,9,8,9,9,12,12,7,8,7,6,7,8,101
NE,Omaha,51,6,7,9,10,12,11,9,9,9,7,5,6,98
NV,Reno,45,6,6,6,4,4,3,2,2,2,3,5,6,51
NH,Concord,46,11,10,11,12,12,11,10,10,9,9,11,11,125
NJ,Atlantic City,44,11,10,11,11,10,9,9,9,8,7,9,10,112
NM,Albuquerque,48,4,4,5,3,4,4,9,9,6,5,3,4,61
NY,Albany,41,12,10,12,12,13,11,10,10,10,9,12,12,134
,Buffalo,44,20,17,16,14,12,10,10,11,11,12,16,20,169
,New York,118,11,10,11,11,11,10,10,10,8,8,9,10,121
NC,Charlotte,48,10,10,11,9,10,10,11,9,7,7,8,10,111
,Raleigh,43,10,10,10,9,10,9,11,10,8,7,8,9,111
ND,Bismarck,48,8,7,8,8,10,12,9,9,7,6,6,8,97
OH,Cincinnati,40,12,11,13,13,11,11,10,9,8,8,11,12,129
,Cleveland,46,16,14,15,14,13,11,10,10,10,11,14,16,156
,Columbus,48,13,12,14,13,13,11,11,9,8,9,11,13,137
OK,Oklahoma City,48,5,6,7,8,10,9,6,6,7,6,5,5,82
OR,Portland,47,18,16,17,14,12,9,4,5,8,13,18,19,152
PA,Philadelphia,47,11,9,11,11,11,10,9,9,8,8,9,10,117
,Pittsburgh,35,16,14,16,14,12,12,11,10,9,11,13,17,154
RI,Providence,34,11,10,12,11,11,11,9,10,8,8,11,12,124
SC,Columbia,40,10,10,11,8,9,9,12,11,8,6,7,9,109
SD,Sioux Falls,42,6,6,9,9,10,11,9,9,8,6,6,6,97
TN,Memphis,37,10,9,11,10,9,8,9,8,7,6,9,10,106
,Nashville,46,11,11,12,11,11,9,10,9,8,7,10,11,119
TX,Fort Worth,34,7,7,7,8,9,6,5,5,7,6,6,6,78
,El Paso,48,4,3,2,2,2,4,8,8,5,4,3,4,48
,Houston,18,10,8,9,7,9,9,9,10,10,8,9,9,106
UT,Salt Lake City,59,10,9,10,9,8,5,5,6,5,6,8,9,91
VT,Burlington,44,14,12,13,12,14,13,12,12,12,12,14,15,154
VA,Norfolk,39,10,10,11,10,10,9,11,10,8,8,8,9,114
,Richmond,50,10,9,11,9,11,9,11,10,8,7,8,9,113
WA,Seattle,43,19,16,17,14,10,9,5,6,9,13,18,20,156
,Spokane,40,14,12,11,9,9,8,4,5,6,8,12,15,113
WV,Charleston,40,16,14,15,14,13,11,13,11,9,10,12,14,151
WI,Milwaukee,47,11,10,12,12,12,11,10,9,9,9,10,11,125
WY,Cheyenne,52,6,6,9,10,12,11,11,10,7,6,6,5,99
PR,San Juan,32,16,13,12,13,17,16,19,18,17,17,18,19,195
