Area metropolitana,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Atlanta,36,15,36,28,33,52,67,34,18,24
Bakersfield,97,105,107,110,58,78,144,132,125,152
Baltimore,48,40,36,28,30,51,40,19,32,42
Boston,2,6,7,4,7,8,10,1,12,16
Chicago,4,13,24,7,10,12,19,2,22,21
Dallas,12,24,29,10,27,33,25,22,16,15
Denver,6,3,5,2,0,9,5,3,8,8
Detroit,5,11,14,13,11,17,20,15,27,26
El Paso,7,6,3,6,2,6,5,4,9,13
Fresno,59,55,61,70,75,67,133,131,138,152
Houston,27,41,66,28,47,38,52,42,29,23
Las Vegas,3,3,3,14,4,5,8,2,1,6
Los Angeles–Long Beach,134,139,113,94,60,56,56,87,88,80
Miami,6,1,2,1,3,8,7,2,1,1
Minneapolis–St. Paul,0,2,5,0,0,1,1,2,2,1
New Haven–Meriden,12,13,14,8,19,9,19,9,15,25
New York,11,16,21,14,23,18,25,19,19,31
Orange County,25,15,9,9,3,6,14,31,31,19
Philadelphia,62,37,38,38,38,37,32,22,29,33
Phoenix–Mesa,14,10,22,15,12,14,10,10,8,8
Pittsburgh,14,22,27,12,21,39,40,29,52,53
Riverside–San Bernardino,168,150,125,118,107,96,123,145,155,145
Sacramento,20,37,41,44,17,29,69,45,49,69
St. Louis,9,33,38,23,15,24,31,18,17,34
Salt Lake City–Ogden,5,17,5,14,2,19,8,15,15,18
San Diego,59,46,48,31,14,33,33,31,31,20
San Francisco,0,0,2,0,0,0,10,4,12,17
Seattle–Bellevue–Everett,0,3,2,6,1,3,6,7,3,6
Ventura,43,63,66,62,45,29,24,31,25,11
Washington,52,22,32,18,30,47,39,11,22,34
